,,,,,,Round (Common rounds are highlighted in grey),30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
487,item,Q22,,EC,,,,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,"IF Q20 FEATURES A BANK LOAN, A LOAN FROM OTHER SOURCES OR EQUITY INVESTMENT RESPECTIVELY (CODE 1, 2 OR 3)",,,,,,,,,,
488,item,Q22A,,EC,,,,,,,,,,,,,,,,,,,,,,,,BANK OR OTHER LOAN (1 OR 2 IN Q20),,,,BANK OR OTHER LOAN (1 OR 2 IN Q20),,,,BANK OR OTHER LOAN (1 OR 2 IN Q20)
489,item,Q22B,,EC,,,,,,,,,,,,,,,,,,,,,,,,EQUITY INVESTMENT OR MEZZANINE (3 OR 4 IN Q20),,,,EQUITY INVESTMENT OR MEZZANINE (3 OR 4 IN Q20),,,,EQUITY INVESTMENT OR MEZZANINE (3 OR 4 IN Q20)
490,answer,Q22,8,EC,,The category was available for Q22B in round 2013H1,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,- There are no obstacles,,,,- There are no obstacles,,,,- There are no obstacles
491,answer,Q22,1,EC,,The category was not available for Q22B,,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY CAPITAL (CODE 3)],,- Insufficient collateral or guarantee [NOT TO BE USED IF Q20 FEATURES EQUITY INVESTMENT (CODE 3)],,- Insufficient collateral or guarantee,,,,- Insufficient collateral or guarantee,,,,- Insufficient collateral or guarantee
492,answer,Q22,2,EC,,,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,- Interest rates or price too high,,,,- Interest rates or price too high,,,,- Interest rates or price too high
493,answer,Q22,3,EC,,,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the enterprise,,- Reduced control over the firm,,,,- Reduced control over the firm,,,,- Reduced control over the firm
494,answer,Q22,4,EC,,,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,- Financing not available at all,,,,- Financing not available at all,,,,- Financing not available at all
495,answer,Q22,6,EC,,,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,- Too much paperwork is involved,,,,,,,,,,
496,answer,Q22,5,EC,,,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,,,- Other,,,,- Other
497,answer,Q22,9,EC,,,,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
498,answer,Q24,1,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- Yes, on the main list of the stock exchange"
499,answer,Q24,2,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- Yes, on the alternative/ growth-oriented list of stock exchange"
500,answer,Q24,3,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- No, the company is not planning to be listed"
501,answer,Q24,9,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- [DK/NA]
502,question,Q24,,EC,,,,,,,,,,,,,,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your enterprise’s financing in the future?",,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your enterprise’s financing in the future?",,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your enterprise’s financing in the future?",,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your enterprise’s financing in the future?",,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your enterprise’s financing in the future?",,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your company’s financing in the future?",,,,"Q24. On a scale of 1-10, where 10 means it is extremely important and 1 means it is not at all important, how important are each of the following factors for your company’s financing in the future?",,,,Q24. Does your company aim to be listed on a stock market within the next 2 years?
503,item,Q24_a,,EC,,,,,,,,,,,,,,Guarantees for loans,,Guarantees for loans,,Guarantees for loans,,Guarantees for loans,,Guarantees for loans,,Guarantees for loans,,,,Guarantees for loans,,,,
504,item def.,Q24_a,,EC,,,,,,,,,,,,,,a commitment by a third party to pay the debt of borrowers when the latter cannot pay it themselves. The guarantor is liable to cover any shortfall or default on the borrower's debt,,a commitment by a third party to pay the debt of borrowers when the latter cannot pay it themselves. The guarantor is liable to cover any shortfall or default on the borrower's debt,,a commitment by a third party to pay the debt of borrowers when the latter cannot pay it themselves. The guarantor is liable to cover any shortfall or default on the borrower's debt,,a commitment by a third party to pay the debt of borrowers when the latter cannot pay it themselves. The guarantor is liable to cover any shortfall or default on the borrower's debt,,,,,,,,,,,,
505,item,Q24_b,,EC,,,,,,,,,,,,,,Measures to facilitate equity investments in your company ,,Measures to facilitate equity investments in your company ,,Measures to facilitate equity investments in your company ,,Measures to facilitate equity investments in your company ,,Measures to facilitate equity investments,,Measures to facilitate equity investments,,,,Measures to facilitate equity investments,,,,
506,item def.,Q24_b,,EC,,,,,,,,,,,,,,"for example, support for venture capital or business angel financing",,"for example, support for venture capital or business angel financing",,"for example, support for venture capital or business angel financing",,"for example, support for venture capital or business angel financing",,"FOR EXAMPLE, SUPPORT FOR VENTURE CAPITAL OR BUSINESS ANGEL FINANCING",,"FOR EXAMPLE, SUPPORT FOR VENTURE CAPITAL OR BUSINESS ANGEL FINANCING",,,,"FOR EXAMPLE, SUPPORT FOR VENTURE CAPITAL OR BUSINESS ANGEL FINANCING",,,,
507,item,Q24_c,,EC,,,,,,,,,,,,,,Export credits or guarantees,,Export credits or guarantees,,Export credits or guarantees,,Export credits or guarantees,,Export credits or guarantees,,Export credits or guarantees,,,,Export credits or guarantees,,,,
508,item def.,Q24_c,,EC,,,,,,,,,,,,,,types of protection for an exporter against non-payment by an importer,,types of protection for an exporter against non-payment by an importer,,types of protection for an exporter against non-payment by an importer,,types of protection for an exporter against non-payment by an importer,,,,,,,,,,,,
509,item,Q24_d,,EC,,,,,,,,,,,,,,Tax incentives,,Tax incentives,,Tax incentives,,Tax incentives,,Tax incentives,,Tax incentives,,,,Tax incentives,,,,
510,item def.,Q24_d,,EC,,,,,,,,,,,,,,"deductions or exemption from a tax, usually offered by the government to encourage specific activities",,"deductions or exemption from a tax, usually offered by the government to encourage specific activities",,"deductions or exemption from a tax, usually offered by the government to encourage specific activities",,"deductions or exemption from a tax, usually offered by the government to encourage specific activities",,,,,,,,,,,,
511,item,Q24_e,,EC,,,,,,,,,,,,,,"Business support services, for example, advisory services, training, business networks, credit mediation, match-making services",,"Business support services, for example, advisory services, training, business networks, credit mediation, match-making services",,"Business support services, for example, advisory services, training, business networks, credit mediation, match-making services",,"Business support services, for example, advisory services, training, business networks, credit mediation, match-making services",, Business support services,, Business support services,,,, Business support services,,,,
